x-axis,1,2
second,Volt,Volt
-5.00000E-03,+1.21249998E+00,+237.50000E-03
-4.99000E-03,+1.18124998E+00,+237.50000E-03
-4.98000E-03,+1.18124998E+00,+240.62500E-03
-4.97000E-03,+1.14999998E+00,+246.87500E-03
-4.96000E-03,+1.18124998E+00,+250.00000E-03
-4.95000E-03,+1.14999998E+00,+325.00000E-03
-4.94000E-03,+1.18124998E+00,+243.75000E-03
-4.93000E-03,+1.18124998E+00,+231.25000E-03
-4.92000E-03,+1.18124998E+00,+253.12500E-03
-4.91000E-03,+1.18124998E+00,+237.50000E-03
-4.90000E-03,+1.18124998E+00,+246.87500E-03
-4.89000E-03,+1.18124998E+00,+243.75000E-03
-4.88000E-03,+1.14999998E+00,+243.75000E-03
-4.87000E-03,+1.18124998E+00,+246.87500E-03
-4.86000E-03,+1.21249998E+00,+240.62500E-03
-4.85000E-03,+1.14999998E+00,+253.12500E-03
-4.84000E-03,+1.14999998E+00,+250.00000E-03
-4.83000E-03,+1.21249998E+00,+246.87500E-03
-4.82000E-03,+1.18124998E+00,+250.00000E-03
-4.81000E-03,+1.11874998E+00,+250.00000E-03
-4.80000E-03,+1.21249998E+00,+253.12500E-03
-4.79000E-03,+1.18124998E+00,+250.00000E-03
-4.78000E-03,+1.18124998E+00,+246.87500E-03
-4.77000E-03,+1.21249998E+00,+265.62500E-03
-4.76000E-03,+1.21249998E+00,+256.25000E-03
-4.75000E-03,+1.21249998E+00,+253.12500E-03
-4.74000E-03,+1.18124998E+00,+250.00000E-03
-4.73000E-03,+1.18124998E+00,+256.25000E-03
-4.72000E-03,+1.18124998E+00,+268.75000E-03
-4.71000E-03,+1.21249998E+00,+253.12500E-03
-4.70000E-03,+1.14999998E+00,+284.37500E-03
-4.69000E-03,+1.14999998E+00,+246.87500E-03
-4.68000E-03,+1.18124998E+00,+253.12500E-03
-4.67000E-03,+1.14999998E+00,+256.25000E-03
-4.66000E-03,+1.18124998E+00,+250.00000E-03
-4.65000E-03,+1.21249998E+00,+253.12500E-03
-4.64000E-03,+1.21249998E+00,+259.37500E-03
-4.63000E-03,+1.14999998E+00,+265.62500E-03
-4.62000E-03,+1.18124998E+00,+243.75000E-03
-4.61000E-03,+1.18124998E+00,+250.00000E-03
-4.60000E-03,+1.18124998E+00,+312.50000E-03
-4.59000E-03,+1.21249998E+00,+243.75000E-03
-4.58000E-03,+1.21249998E+00,+256.25000E-03
-4.57000E-03,+1.18124998E+00,+253.12500E-03
-4.56000E-03,+1.21249998E+00,+250.00000E-03
